Id,X,Y,Cluster_ID,Rho,Delta,Gamma,Is_Peak
34,96.5632,19.5243,192,1.76,8.27,14.53,NO
35,80.8397,72.2452,115,5.59,6.84,38.22,NO
36,30.4614,28.0772,82,2.78,4.46,12.39,NO
37,9.7672,2.4316,90,5.13,2.28,11.68,NO
38,68.4233,64.5472,115,3.79,5.20,19.67,NO
39,44.0152,17.7111,192,3.70,5.13,18.98,NO
40,12.2038,94.0459,57,4.43,7.34,32.55,NO
41,49.5177,95.3929,115,2.23,2.80,6.23,NO
42,3.4389,91.4864,57,2.59,5.81,15.04,NO
43,90.9320,37.0159,192,4.94,0.91,4.50,NO
44,25.8780,1.5457,90,2.46,6.92,17.00,NO
45,66.2522,92.8319,115,2.42,7.05,17.02,NO
46,31.1711,42.8184,82,6.50,5.60,36.37,NO
47,52.0068,96.6655,115,2.52,2.68,6.74,NO
48,54.6710,96.3620,115,2.70,8.33,22.52,NO
49,18.4854,85.3009,57,5.38,4.51,24.25,NO
50,96.9585,29.4449,192,2.74,7.81,21.36,NO
51,77.5133,38.5098,192,3.31,3.72,12.32,NO
52,93.9499,85.1137,115,2.22,3.68,8.17,NO
53,89.4827,31.6922,192,4.45,5.52,24.53,NO
54,59.7900,16.9493,192,2.85,4.34,12.39,NO
55,92.1874,55.6801,115,3.43,5.54,19.01,NO
56,8.8493,93.6155,57,4.04,0.56,2.27,NO
57,19.5983,69.6030,57,6.42,29.18,187.43,YES
58,4.5227,57.0061,57,4.85,2.10,10.17,NO
59,32.5330,9.7176,90,4.64,21.63,100.26,NO
60,38.8677,61.5007,57,4.25,3.05,12.96,NO
61,27.1349,99.0054,57,4.04,2.62,10.61,NO
62,82.8738,14.0084,192,2.15,5.92,12.75,NO
63,35.6753,51.8330,57,4.46,4.47,19.93,NO
64,28.0935,87.7373,57,5.08,4.63,23.53,NO
65,54.2696,74.0769,115,4.65,8.44,39.21,NO
66,14.0924,69.7016,57,5.76,3.85,22.18,NO
67,80.2197,70.2484,115,5.39,2.09,11.27,NO
68,7.4551,35.9491,90,2.42,8.71,21.05,NO
69,98.6887,29.3592,192,2.21,1.73,3.82,NO
70,77.2245,80.9361,115,5.09,1.11,5.66,NO
71,19.8716,81.0113,57,5.96,3.36,20.01,NO
72,0.5522,86.7072,57,1.24,5.58,6.92,NO
73,81.5461,91.3241,115,2.84,5.30,15.03,NO
74,70.6857,51.1342,115,4.36,17.94,78.26,NO
75,72.9007,50.1516,115,4.23,2.42,10.26,NO
76,77.1270,79.8295,115,5.17,8.44,43.67,NO
77,7.4045,64.9964,57,5.51,7.14,39.36,NO
78,35.8466,70.1967,57,3.24,5.82,18.82,NO
79,11.5869,79.5793,57,2.63,8.41,22.10,NO
80,86.3103,89.0005,115,3.07,1.90,5.82,NO
81,62.3298,33.7995,82,1.20,6.59,7.92,NO
82,33.0898,37.5583,82,6.54,77.24,504.86,YES
83,6.3558,9.3982,90,4.47,4.52,20.17,NO
84,31.0982,57.8280,57,4.26,3.78,16.10,NO
85,32.5183,3.5942,90,4.06,0.52,2.10,NO
86,72.9606,46.5598,115,3.50,3.59,12.58,NO
87,63.7557,54.2645,115,3.75,7.60,28.48,NO
88,88.7213,28.6541,192,3.65,3.13,11.44,NO
89,47.2215,59.0833,57,3.26,7.13,23.26,NO
90,11.9594,3.0500,90,5.20,38.01,197.68,YES
91,71.3245,3.7348,192,2.44,4.25,10.37,NO
92,76.0785,82.2601,115,5.04,1.75,8.82,NO
93,56.1277,36.0191,82,1.79,11.21,20.06,NO
94,77.0967,12.7061,192,2.73,5.21,14.20,NO
95,49.3796,52.2243,57,2.36,4.80,11.36,NO
96,52.2733,76.9994,115,4.38,2.06,9.01,NO
97,42.7541,21.5821,192,3.30,4.07,13.45,NO
98,2.5419,62.2890,57,4.82,1.35,6.49,NO
99,10.7891,8.5347,90,4.99,5.61,27.99,NO
100,3.1429,5.1682,90,3.83,5.31,20.33,NO
101,63.6410,53.1355,115,3.64,1.13,4.13,NO
102,31.4356,54.0635,57,4.28,4.79,20.48,NO
103,50.8571,63.7430,57,3.11,5.91,18.36,NO
104,90.7566,72.6091,115,5.19,1.62,8.43,NO
105,24.9292,97.5852,57,4.98,2.99,14.91,NO
106,41.0383,51.6300,57,3.32,5.37,17.81,NO
107,75.5551,32.2956,192,2.33,6.52,15.20,NO
108,22.8798,79.5186,57,6.26,3.79,23.73,NO
109,7.6980,27.0832,90,2.88,3.43,9.89,NO
110,28.9751,43.8971,82,5.82,1.22,7.13,NO
111,16.1221,7.8456,90,3.81,5.38,20.47,NO
112,92.9698,2.5351,192,2.49,2.45,6.11,NO
113,80.8120,96.2648,115,1.48,4.99,7.37,NO
114,63.3404,83.5980,115,5.13,14.29,73.28,NO
115,87.1461,69.5974,115,6.33,62.05,392.56,YES
116,80.3672,40.8953,192,3.87,3.90,15.10,NO
117,18.6570,17.3294,90,2.38,5.71,13.59,NO
118,89.2559,15.6437,192,2.23,9.28,20.69,NO
119,53.9342,25.0243,192,3.25,2.87,9.32,NO
120,80.7440,54.9227,115,4.15,1.18,4.88,NO
121,89.6091,71.4596,115,5.73,3.09,17.69,NO
122,31.8003,66.0197,57,4.48,5.22,23.40,NO
123,11.0052,27.9934,90,3.56,2.75,9.81,NO
124,22.7935,95.4865,57,5.69,1.76,9.98,NO
125,42.7108,73.7897,57,2.27,7.75,17.60,NO
126,81.8015,55.4354,115,4.15,6.46,26.82,NO
127,86.0731,61.1721,115,4.94,4.92,24.28,NO
128,0.6952,41.9600,90,1.11,6.33,7.00,NO
129,51.0747,24.7731,192,3.76,7.57,28.52,NO
130,41.7411,35.5973,82,3.37,5.24,17.67,NO
131,22.2108,75.7846,57,6.26,6.09,38.12,NO
132,11.9865,1.4393,90,4.71,1.61,7.58,NO
133,33.7615,11.6073,90,4.16,2.25,9.37,NO
134,94.2910,4.6003,192,3.27,3.89,12.73,NO
135,32.3203,4.0729,90,4.22,5.65,23.82,NO
136,51.8791,85.5461,115,2.75,8.22,22.64,NO
137,70.3019,70.3658,115,3.43,6.11,20.98,NO
138,36.3630,47.4174,57,4.79,6.94,33.24,NO
139,97.1782,9.7834,192,3.36,2.51,8.43,NO
140,96.2447,49.1616,115,2.98,1.36,4.05,NO
141,25.1782,47.3472,82,3.68,5.13,18.88,NO
142,49.7249,17.3202,192,4.56,18.80,85.67,NO
143,30.0878,43.3852,82,6.22,1.22,7.61,NO
144,28.4840,39.8505,82,5.73,3.88,22.26,NO
145,3.6887,61.5850,57,5.37,1.80,9.69,NO
146,60.9564,63.5094,115,3.96,2.26,8.96,NO
147,50.2679,4.5304,192,1.89,5.00,9.47,NO
148,5.1479,37.4613,90,2.09,2.76,5.76,NO
149,27.8646,62.5860,57,4.53,4.02,18.19,NO
150,90.8266,50.3136,115,3.92,7.50,29.40,NO
151,23.9562,85.6490,57,6.17,6.22,38.42,NO
152,14.4895,65.8694,57,5.95,6.33,37.63,NO
153,48.9453,16.2934,192,4.39,1.29,5.65,NO
154,98.5650,7.0569,192,3.13,3.06,9.56,NO
155,24.2055,64.2419,57,4.93,4.35,21.44,NO
156,67.2136,2.6511,192,2.93,5.22,15.30,NO
157,76.1620,58.5776,115,4.30,3.50,15.02,NO
158,23.7638,94.0230,57,5.97,8.38,50.00,NO
159,72.8216,57.5474,115,4.32,6.76,29.20,NO
160,36.7783,38.8170,82,5.77,3.90,22.49,NO
161,63.2306,64.3288,115,4.11,11.75,48.31,NO
162,63.3530,45.8253,115,2.24,7.32,16.41,NO
163,53.5775,54.5617,57,2.58,7.80,20.11,NO
164,9.0290,94.1465,57,4.05,3.18,12.88,NO
165,83.5302,38.6103,192,4.69,6.66,31.22,NO
166,32.0780,96.1191,57,3.32,5.72,19.02,NO
167,18.6519,90.5351,57,5.52,6.19,34.15,NO
168,4.0775,19.5791,90,1.51,8.33,12.56,NO
169,59.0893,6.9361,192,3.26,5.43,17.68,NO
170,67.7564,10.0778,192,3.67,4.39,16.10,NO
171,1.6588,1.8222,90,2.57,3.66,9.40,NO
172,51.2093,9.4443,192,3.07,7.21,22.12,NO
173,22.6496,68.3007,57,5.96,3.32,19.78,NO
174,64.5173,7.1189,192,3.75,13.92,52.16,NO
175,17.4366,31.8976,90,2.65,5.23,13.86,NO
176,69.0938,84.4875,115,4.91,5.17,25.36,NO
177,38.6735,2.3272,90,2.31,6.28,14.53,NO
178,93.6730,81.4468,115,2.65,8.07,21.42,NO
179,13.7521,28.1855,90,3.67,17.23,63.33,NO
180,34.1066,11.8165,90,4.07,0.40,1.64,NO
181,11.3474,69.6737,57,5.01,2.75,13.76,NO
182,92.4694,62.8943,115,3.82,6.62,25.30,NO
183,87.7339,87.7472,115,3.08,12.52,38.51,NO
184,25.7942,73.5071,57,5.29,4.25,22.44,NO
185,65.9984,80.3481,115,5.08,4.20,21.32,NO
186,81.7222,28.2035,192,3.09,7.01,21.65,NO
187,55.5201,17.7440,192,3.81,5.81,22.16,NO
188,52.9651,75.0615,115,4.58,1.63,7.49,NO
189,24.1852,80.6835,57,6.09,1.75,10.65,NO
190,9.3103,99.0505,57,2.80,4.91,13.74,NO
191,89.7216,41.2618,192,4.95,4.07,20.17,NO
192,90.0418,37.2018,192,5.12,28.81,147.41,YES
193,63.3101,77.6413,115,4.73,3.15,14.90,NO
194,33.9030,34.0804,82,5.49,3.57,19.61,NO
195,34.9210,93.0757,57,2.38,4.16,9.93,NO
196,72.5956,85.8413,115,4.42,3.75,16.60,NO
197,89.7110,42.8994,192,4.74,1.64,7.75,NO
198,88.7086,75.0871,115,5.07,3.21,16.31,NO
199,77.9876,75.4543,115,5.16,4.29,22.14,NO
